Model,Accuracy,Precision (micro),Precision (macro),Recall (micro),Recall (macro),F1 (micro),F1 (macro),Execution time (s)
BERT PT+Dropout+Linear,99.69,99.69,82.68,99.69,88.20,99.69,85.20,1445.99
BERT PT+Dropout+BiLSTM+Linear,99.62,99.62,78.08,99.62,85.84,99.62,81.58,1594.97
BERT PT+Dropout+CNN+BiLSTM+Linear,99.12,99.12,49.65,99.12,31.52,99.12,33.56,1612.20
BERT FT+Dropout+Linear,99.87,99.87,91.44,99.87,96.04,99.87,93.64,1437.03
BERT FT+Dropout+BiLSTM+Linear,99.84,99.84,89.42,99.84,95.29,99.84,92.18,1584.32
BERT FT+Dropout+CNN+BiLSTM+Linear,99.19,99.19,49.09,99.19,40.42,99.19,40.75,1612.22
BART PT+Dropout+Linear,99.41,99.41,76.74,99.41,84.11,99.41,80.04,948.75
BART PT+Dropout+BiLSTM+Linear,99.35,99.35,73.30,99.35,82.69,99.35,77.36,1083.69
BART PT+Dropout+CNN+BiLSTM+Linear,98.75,98.75,49.41,98.75,33.97,98.75,36.44,1088.83
BART FT+Dropout+Linear,99.61,99.61,82.87,99.61,91.91,99.61,87.00,944.19
BART FT+Dropout+BiLSTM+Linear,99.58,99.58,81.65,99.58,92.16,99.58,86.39,1093.80
BART FT+Dropout+CNN+BiLSTM+Linear,98.86,98.86,55.91,98.86,42.25,98.86,45.26,1086.15
