Model,Accuracy,Precision (micro),Precision (macro),Recall (micro),Recall (macro),F1 (micro),F1 (macro),Execution time (s)
BERT PT+Dropout+Linear,0.0002,0.0002,0.0155,0.0002,0.0217,0.0002,0.0073,12.8014
BERT PT+Dropout+BiLSTM+Linear,0.0003,0.0003,0.0178,0.0003,0.0139,0.0003,0.0121,1.4953
BERT PT+Dropout+CNN+BiLSTM+Linear,0.0003,0.0003,0.0342,0.0003,0.0339,0.0003,0.0398,8.0915
BERT FT+Dropout+Linear,0.0001,0.0001,0.0110,0.0001,0.0048,0.0001,0.0046,1.1982
BERT FT+Dropout+BiLSTM+Linear,0.0001,0.0001,0.0136,0.0001,0.0073,0.0001,0.0063,1.0183
BERT FT+Dropout+CNN+BiLSTM+Linear,0.0002,0.0002,0.0884,0.0002,0.0179,0.0002,0.0201,1.8566
BART PT+Dropout+Linear,0.0004,0.0004,0.0212,0.0004,0.0134,0.0004,0.0103,1.4267
BART PT+Dropout+BiLSTM+Linear,0.0002,0.0002,0.0090,0.0002,0.0154,0.0002,0.0081,0.9543
BART PT+Dropout+CNN+BiLSTM+Linear,0.0004,0.0004,0.0637,0.0004,0.0465,0.0004,0.0542,5.8099
BART FT+Dropout+Linear,0.0003,0.0003,0.0157,0.0003,0.0043,0.0003,0.0086,2.1394
BART FT+Dropout+BiLSTM+Linear,0.0005,0.0005,0.0225,0.0005,0.0056,0.0005,0.0137,3.6080
BART FT+Dropout+CNN+BiLSTM+Linear,0.0004,0.0004,0.0371,0.0004,0.0369,0.0004,0.0457,2.6942
