Model,Accuracy,Precision (micro),Precision (macro),Recall (micro),Recall (macro),F1 (micro),F1 (macro),Execution time (s)
BERT PT+Dropout+Linear,0.0002,0.0002,0.0640,0.0002,0.0118,0.0002,0.0096,11.6257
BERT PT+Dropout+BiLSTM+Linear,0.0004,0.0004,0.0239,0.0004,0.0519,0.0004,0.0431,8.0864
BERT PT+Dropout+CNN+BiLSTM+Linear,0.0001,0.0001,0.1056,0.0001,0.0026,0.0001,0.0050,19.4153
BERT FT+Dropout+Linear,0.0001,0.0001,0.1099,0.0001,0.0246,0.0001,0.0375,5.8762
BERT FT+Dropout+BiLSTM+Linear,0.0002,0.0002,0.0083,0.0002,0.0033,0.0002,0.0053,18.7579
BERT FT+Dropout+CNN+BiLSTM+Linear,0.0002,0.0002,0.1246,0.0002,0.0081,0.0002,0.0144,9.6500
BART PT+Dropout+Linear,0.0002,0.0002,0.0428,0.0002,0.0080,0.0002,0.0143,1.4200
BART PT+Dropout+BiLSTM+Linear,0.0003,0.0003,0.0068,0.0003,0.0279,0.0003,0.0104,0.8153
BART PT+Dropout+CNN+BiLSTM+Linear,0.0002,0.0002,0.0798,0.0002,0.0018,0.0002,0.0035,0.8118
BART FT+Dropout+Linear,0.0003,0.0003,0.0268,0.0003,0.0488,0.0003,0.0502,1.3863
BART FT+Dropout+BiLSTM+Linear,0.0002,0.0002,0.0075,0.0002,0.0075,0.0002,0.0042,0.4474
BART FT+Dropout+CNN+BiLSTM+Linear,0.0003,0.0003,0.0739,0.0003,0.0320,0.0003,0.0382,0.9027
