Model,Accuracy,Precision (micro),Precision (macro),Recall (micro),Recall (macro),F1 (micro),F1 (macro),Execution time (s)
BERT PT+Dropout+Linear,99.78,99.78,89.17,99.78,94.13,99.78,91.47,1432.14
BERT PT+Dropout+BiLSTM+Linear,99.74,99.74,85.44,99.74,94.90,99.74,89.72,1594.72
BERT PT+Dropout+CNN+BiLSTM+Linear,99.20,99.20,70.70,99.20,51.87,99.20,56.76,1616.63
BERT FT+Dropout+Linear,99.93,99.93,96.07,99.93,98.74,99.93,97.37,1439.25
BERT FT+Dropout+BiLSTM+Linear,99.90,99.90,94.63,99.90,98.58,99.90,96.54,1583.13
BERT FT+Dropout+CNN+BiLSTM+Linear,99.40,99.40,75.72,99.40,71.82,99.40,73.16,1632.40
BART PT+Dropout+Linear,99.50,99.50,80.94,99.50,91.05,99.50,85.30,959.79
BART PT+Dropout+BiLSTM+Linear,99.48,99.48,79.48,99.48,92.40,99.48,85.01,1089.97
BART PT+Dropout+CNN+BiLSTM+Linear,98.87,98.87,65.12,98.87,57.16,98.87,60.00,1104.66
BART FT+Dropout+Linear,99.68,99.68,86.95,99.68,96.20,99.68,91.12,947.81
BART FT+Dropout+BiLSTM+Linear,99.68,99.68,87.14,99.68,96.14,99.68,91.27,1090.74
BART FT+Dropout+CNN+BiLSTM+Linear,99.06,99.06,70.82,99.06,66.28,99.06,67.96,1088.94
