Model,Accuracy,Precision (micro),Precision (macro),Recall (micro),Recall (macro),F1 (micro),F1 (macro),Execution time (s)
BERT PT+Dropout+Linear,0.0002,0.0002,0.0142,0.0002,0.0208,0.0002,0.0097,7.9289
BERT PT+Dropout+BiLSTM+Linear,0.0003,0.0003,0.0178,0.0003,0.0113,0.0003,0.0092,2.7587
BERT PT+Dropout+CNN+BiLSTM+Linear,0.0006,0.0006,0.0155,0.0006,0.0730,0.0006,0.0828,1.9948
BERT FT+Dropout+Linear,0.0001,0.0001,0.0062,0.0001,0.0037,0.0001,0.0020,22.5185
BERT FT+Dropout+BiLSTM+Linear,0.0001,0.0001,0.0081,0.0001,0.0053,0.0001,0.0038,48.3623
BERT FT+Dropout+CNN+BiLSTM+Linear,0.0002,0.0002,0.0157,0.0002,0.0277,0.0002,0.0165,9.7102
BART PT+Dropout+Linear,0.0004,0.0004,0.0206,0.0004,0.0119,0.0004,0.0115,2.3493
BART PT+Dropout+BiLSTM+Linear,0.0003,0.0003,0.0164,0.0003,0.0090,0.0003,0.0086,6.7229
BART PT+Dropout+CNN+BiLSTM+Linear,0.0006,0.0006,0.0574,0.0006,0.0651,0.0006,0.0590,21.5450
BART FT+Dropout+Linear,0.0002,0.0002,0.0116,0.0002,0.0041,0.0002,0.0083,3.5070
BART FT+Dropout+BiLSTM+Linear,0.0002,0.0002,0.0088,0.0002,0.0037,0.0002,0.0051,2.5311
BART FT+Dropout+CNN+BiLSTM+Linear,0.0007,0.0007,0.0269,0.0007,0.0440,0.0007,0.0308,2.0159
