Model,Accuracy,Precision (micro),Precision (macro),Recall (micro),Recall (macro),F1 (micro),F1 (macro),Execution time (s)
BERT PT+Dropout+Linear,0.99726640625,0.99726640625,0.7616104286739634,0.99726640625,0.6948151125160906,0.99726640625,0.697050485211981,332.46844897270205
BERT PT+Dropout+BiLSTM+Linear,0.9957277343750001,0.9957277343750001,0.5767029869275998,0.9957277343750001,0.4707723445113948,0.9957277343750001,0.4792043412082097,372.6977200746536
BERT PT+Dropout+CNN+BiLSTM+Linear,0.9950164062500001,0.9950164062500001,0.522588841099319,0.9950164062500001,0.3565904271438898,0.9950164062500001,0.3721075063310081,371.96387605667115
BERT FT+Dropout+Linear,0.9986167968749999,0.9986167968749999,0.8731572210540566,0.9986167968749999,0.8731987376611061,0.9986167968749999,0.8711472053990515,326.772536277771
BERT FT+Dropout+BiLSTM+Linear,0.9977656250000001,0.9977656250000001,0.8223598078059198,0.9977656250000001,0.7281094225079294,0.9977656250000001,0.7204068437463638,345.864586186409
BERT FT+Dropout+CNN+BiLSTM+Linear,0.9950953125000002,0.9950953125000002,0.5230499147288555,0.9950953125000002,0.3661264166343622,0.9950953125000002,0.38234971762055825,369.8617713689804
BERT PT+Dropout+Linear,0.99726640625,0.99726640625,0.7616104286739634,0.99726640625,0.6948151125160906,0.99726640625,0.697050485211981,332.46844897270205
BERT PT+Dropout+BiLSTM+Linear,0.9957277343750001,0.9957277343750001,0.5767029869275998,0.9957277343750001,0.4707723445113948,0.9957277343750001,0.4792043412082097,372.6977200746536
BERT PT+Dropout+CNN+BiLSTM+Linear,0.9950164062500001,0.9950164062500001,0.522588841099319,0.9950164062500001,0.3565904271438898,0.9950164062500001,0.3721075063310081,371.96387605667115
BERT FT+Dropout+Linear,0.9986167968749999,0.9986167968749999,0.8731572210540566,0.9986167968749999,0.8731987376611061,0.9986167968749999,0.8711472053990515,326.772536277771
BERT FT+Dropout+BiLSTM+Linear,0.9977656250000001,0.9977656250000001,0.8223598078059198,0.9977656250000001,0.7281094225079294,0.9977656250000001,0.7204068437463638,345.864586186409
BERT FT+Dropout+CNN+BiLSTM+Linear,0.9950953125000002,0.9950953125000002,0.5230499147288555,0.9950953125000002,0.3661264166343622,0.9950953125000002,0.38234971762055825,369.8617713689804
