Model,Accuracy,Precision (micro),Precision (macro),Recall (micro),Recall (macro),F1 (micro),F1 (macro),Execution time (s)
BERT PT+Dropout+Linear,0.0003,0.0003,0.0236,0.0003,0.0428,0.0003,0.0424,0.5846
BERT PT+Dropout+BiLSTM+Linear,0.0005,0.0005,0.1627,0.0005,0.0862,0.0005,0.0788,5.1465
BERT PT+Dropout+CNN+BiLSTM+Linear,0.0001,0.0001,0.0896,0.0001,0.0078,0.0001,0.0116,22.8112
BERT FT+Dropout+Linear,0.0003,0.0003,0.0411,0.0003,0.0277,0.0003,0.0303,1.2342
BERT FT+Dropout+BiLSTM+Linear,0.0003,0.0003,0.0183,0.0003,0.0470,0.0003,0.0580,16.6616
BERT FT+Dropout+CNN+BiLSTM+Linear,0.0003,0.0003,0.1006,0.0003,0.0313,0.0003,0.0371,4.0701
BART PT+Dropout+Linear,0.0003,0.0003,0.0268,0.0003,0.0239,0.0003,0.0178,0.5023
BART PT+Dropout+BiLSTM+Linear,0.0003,0.0003,0.0269,0.0003,0.0242,0.0003,0.0446,0.9360
BART PT+Dropout+CNN+BiLSTM+Linear,0.0004,0.0004,0.1050,0.0004,0.0308,0.0004,0.0389,0.8623
BART FT+Dropout+Linear,0.0002,0.0002,0.0171,0.0002,0.0110,0.0002,0.0083,13.8198
BART FT+Dropout+BiLSTM+Linear,0.0003,0.0003,0.0248,0.0003,0.0092,0.0003,0.0150,20.3623
BART FT+Dropout+CNN+BiLSTM+Linear,0.0003,0.0003,0.1205,0.0003,0.0161,0.0003,0.0277,12.5768
